participants,register,condition,response,instrument
8,mid,HRSE,1,Alto voice
8,mid,congr.,2,Alto voice
8,high,LRSE,2,Alto voice
8,high,MRSE,1,Alto voice
8,high,HRSE,2,Alto voice
8,high,congr.,2,Alto voice
9,low,LRSE,3.5,Alto voice
9,low,MRSE,3.5,Alto voice
9,low,HRSE,6,Alto voice
9,low,congr.,6,Alto voice
9,mid,LRSE,6,Alto voice
9,mid,MRSE,3.5,Alto voice
9,mid,HRSE,6,Alto voice
9,mid,congr.,3.5,Alto voice
9,high,LRSE,3.5,Alto voice
9,high,MRSE,3.5,Alto voice
9,high,HRSE,3.5,Alto voice
9,high,congr.,3.5,Alto voice
10,low,LRSE,2.25,Alto voice
10,low,MRSE,2.25,Alto voice
10,low,HRSE,2.25,Alto voice
10,low,congr.,2.25,Alto voice
10,mid,LRSE,4.75,Alto voice
10,mid,MRSE,4.75,Alto voice
10,mid,HRSE,3.5,Alto voice
10,mid,congr.,4.75,Alto voice
10,high,LRSE,3.5,Alto voice
10,high,MRSE,3.5,Alto voice
10,high,HRSE,3.5,Alto voice
10,high,congr.,3.5,Alto voice
11,low,LRSE,6,Alto voice
11,low,MRSE,6,Alto voice
11,low,HRSE,6,Alto voice
11,low,congr.,6,Alto voice
11,mid,LRSE,6,Alto voice
11,mid,MRSE,6,Alto voice
11,mid,HRSE,6,Alto voice
11,mid,congr.,1,Alto voice
11,high,LRSE,6,Alto voice
11,high,MRSE,1,Alto voice
11,high,HRSE,1,Alto voice
11,high,congr.,1,Alto voice
12,low,LRSE,4,Alto voice
12,low,MRSE,3,Alto voice
12,low,HRSE,2,Alto voice
12,low,congr.,3,Alto voice
12,mid,LRSE,2,Alto voice
12,mid,MRSE,2,Alto voice
12,mid,HRSE,2,Alto voice
12,mid,congr.,4,Alto voice
12,high,LRSE,3,Alto voice
12,high,MRSE,3,Alto voice
12,high,HRSE,3,Alto voice
12,high,congr.,3,Alto voice
13,low,LRSE,3.5,Alto voice
13,low,MRSE,4.75,Alto voice
13,low,HRSE,2.25,Alto voice
13,low,congr.,3.5,Alto voice
13,mid,LRSE,4.75,Alto voice
13,mid,MRSE,3.5,Alto voice
13,mid,HRSE,2.25,Alto voice
13,mid,congr.,3.5,Alto voice
13,high,LRSE,3.5,Alto voice
13,high,MRSE,4.75,Alto voice
13,high,HRSE,3.5,Alto voice
13,high,congr.,3.5,Alto voice
14,low,LRSE,3.5,Alto voice
14,low,MRSE,6,Alto voice
14,low,HRSE,1,Alto voice
14,low,congr.,3.5,Alto voice
14,mid,LRSE,3.5,Alto voice
14,mid,MRSE,3.5,Alto voice
14,mid,HRSE,1,Alto voice
14,mid,congr.,3.5,Alto voice
14,high,LRSE,3.5,Alto voice
14,high,MRSE,3.5,Alto voice
14,high,HRSE,3.5,Alto voice
14,high,congr.,3.5,Alto voice
15,low,LRSE,5,Alto voice
15,low,MRSE,4,Alto voice
15,low,HRSE,3,Alto voice
15,low,congr.,4,Alto voice
15,mid,LRSE,5,Alto voice
15,mid,MRSE,5,Alto voice
15,mid,HRSE,4,Alto voice
15,mid,congr.,4,Alto voice
15,high,LRSE,5,Alto voice
15,high,MRSE,5,Alto voice
15,high,HRSE,5,Alto voice
15,high,congr.,4,Alto voice
16,low,LRSE,1,Alto voice
16,low,MRSE,1,Alto voice
16,low,HRSE,1,Alto voice
16,low,congr.,1,Alto voice
16,mid,LRSE,1,Alto voice
16,mid,MRSE,1,Alto voice
16,mid,HRSE,1,Alto voice
16,mid,congr.,1,Alto voice
16,high,LRSE,1,Alto voice
16,high,MRSE,1,Alto voice
16,high,HRSE,2,Alto voice
16,high,congr.,1,Alto voice
17,low,LRSE,2,Alto voice
17,low,MRSE,2,Alto voice
17,low,HRSE,3,Alto voice
17,low,congr.,5,Alto voice
17,mid,LRSE,5,Alto voice
17,mid,MRSE,5,Alto voice
17,mid,HRSE,2,Alto voice
17,mid,congr.,4,Alto voice
17,high,LRSE,2,Alto voice
17,high,MRSE,2,Alto voice
17,high,HRSE,3,Alto voice
17,high,congr.,5,Alto voice
18,low,LRSE,4.75,Alto voice
18,low,MRSE,2.25,Alto voice
18,low,HRSE,3.5,Alto voice
18,low,congr.,1,Alto voice
18,mid,LRSE,4.75,Alto voice
18,mid,MRSE,6,Alto voice
18,mid,HRSE,2.25,Alto voice
18,mid,congr.,6,Alto voice
18,high,LRSE,6,Alto voice
18,high,MRSE,1,Alto voice
18,high,HRSE,6,Alto voice
18,high,congr.,6,Alto voice
19,low,LRSE,4,Alto voice
19,low,MRSE,4,Alto voice
19,low,HRSE,4,Alto voice
19,low,congr.,3,Alto voice
19,mid,LRSE,3,Alto voice
19,mid,MRSE,1,Alto voice
19,mid,HRSE,1,Alto voice
19,mid,congr.,4,Alto voice
19,high,LRSE,2,Alto voice
19,high,MRSE,3,Alto voice
19,high,HRSE,2,Alto voice
19,high,congr.,1,Alto voice
20,low,LRSE,5,Alto voice
20,low,MRSE,6,Alto voice
20,low,HRSE,2,Alto voice
20,low,congr.,4,Alto voice
20,mid,LRSE,5,Alto voice
20,mid,MRSE,6,Alto voice
20,mid,HRSE,3,Alto voice
20,mid,congr.,6,Alto voice
20,high,LRSE,2,Alto voice
20,high,MRSE,3,Alto voice
20,high,HRSE,3,Alto voice
20,high,congr.,2,Alto voice
21,low,LRSE,1,Alto voice
21,low,MRSE,1,Alto voice
21,low,HRSE,1,Alto voice
21,low,congr.,3,Alto voice
21,mid,LRSE,2,Alto voice
21,mid,MRSE,3,Alto voice
21,mid,HRSE,1,Alto voice
21,mid,congr.,2,Alto voice
21,high,LRSE,3,Alto voice
21,high,MRSE,2,Alto voice
21,high,HRSE,3,Alto voice
21,high,congr.,5,Alto voice
22,low,LRSE,4.75,Alto voice
22,low,MRSE,4.75,Alto voice
22,low,HRSE,4.75,Alto voice
22,low,congr.,4.75,Alto voice
22,mid,LRSE,3.5,Alto voice
22,mid,MRSE,2.25,Alto voice
22,mid,HRSE,4.75,Alto voice
22,mid,congr.,2.25,Alto voice
22,high,LRSE,2.25,Alto voice
22,high,MRSE,4.75,Alto voice
22,high,HRSE,4.75,Alto voice
22,high,congr.,2.25,Alto voice
23,low,LRSE,4.75,Alto voice
23,low,MRSE,2.25,Alto voice
23,low,HRSE,2.25,Alto voice
23,low,congr.,2.25,Alto voice
23,mid,LRSE,4.75,Alto voice
23,mid,MRSE,4.75,Alto voice
23,mid,HRSE,3.5,Alto voice
23,mid,congr.,4.75,Alto voice
23,high,LRSE,1,Alto voice
23,high,MRSE,3.5,Alto voice
23,high,HRSE,4.75,Alto voice
23,high,congr.,2.25,Alto voice
24,low,LRSE,6,Alto voice
24,low,MRSE,6,Alto voice
24,low,HRSE,5,Alto voice
24,low,congr.,5,Alto voice
24,mid,LRSE,1,Alto voice
24,mid,MRSE,1,Alto voice
24,mid,HRSE,2,Alto voice
24,mid,congr.,2,Alto voice
24,high,LRSE,2,Alto voice
24,high,MRSE,1,Alto voice
24,high,HRSE,1,Alto voice
24,high,congr.,2,Alto voice
25,low,LRSE,2.66666666666667,Alto voice
25,low,MRSE,4.33333333333333,Alto voice
25,low,HRSE,1,Alto voice
25,low,congr.,2.66666666666667,Alto voice
25,mid,LRSE,4.33333333333333,Alto voice
25,mid,MRSE,2.66666666666667,Alto voice
25,mid,HRSE,4.33333333333333,Alto voice
25,mid,congr.,2.66666666666667,Alto voice
25,high,LRSE,2.66666666666667,Alto voice
25,high,MRSE,2.66666666666667,Alto voice
25,high,HRSE,2.66666666666667,Alto voice
25,high,congr.,4.33333333333333,Alto voice
26,low,LRSE,4.33333333333333,Alto voice
26,low,MRSE,4.33333333333333,Alto voice
26,low,HRSE,4.33333333333333,Alto voice
26,low,congr.,6,Alto voice
26,mid,LRSE,4.33333333333333,Alto voice
26,mid,MRSE,4.33333333333333,Alto voice
26,mid,HRSE,4.33333333333333,Alto voice
26,mid,congr.,4.33333333333333,Alto voice
26,high,LRSE,2.66666666666667,Alto voice
26,high,MRSE,4.33333333333333,Alto voice
26,high,HRSE,2.66666666666667,Alto voice
26,high,congr.,4.33333333333333,Alto voice
27,low,LRSE,4,Alto voice
27,low,MRSE,4,Alto voice
27,low,HRSE,2,Alto voice
27,low,congr.,5,Alto voice
27,mid,LRSE,6,Alto voice
27,mid,MRSE,5,Alto voice
27,mid,HRSE,3,Alto voice
27,mid,congr.,6,Alto voice
27,high,LRSE,5,Alto voice
27,high,MRSE,3,Alto voice
27,high,HRSE,4,Alto voice
27,high,congr.,5,Alto voice
28,low,LRSE,6,Alto voice
28,low,MRSE,6,Alto voice
28,low,HRSE,3,Alto voice
28,low,congr.,6,Alto voice
28,mid,LRSE,5,Alto voice
28,mid,MRSE,5,Alto voice
28,mid,HRSE,3,Alto voice
28,mid,congr.,6,Alto voice
28,high,LRSE,4,Alto voice
28,high,MRSE,4,Alto voice
28,high,HRSE,5,Alto voice
28,high,congr.,6,Alto voice
29,low,LRSE,5,Alto voice
29,low,MRSE,3,Alto voice
29,low,HRSE,1,Alto voice
29,low,congr.,4,Alto voice
29,mid,LRSE,4,Alto voice
29,mid,MRSE,5,Alto voice
29,mid,HRSE,2,Alto voice
29,mid,congr.,2,Alto voice
29,high,LRSE,3,Alto voice
29,high,MRSE,2,Alto voice
29,high,HRSE,2,Alto voice
29,high,congr.,4,Alto voice
30,low,LRSE,4.75,Alto voice
30,low,MRSE,4.75,Alto voice
30,low,HRSE,4.75,Alto voice
30,low,congr.,4.75,Alto voice
30,mid,LRSE,3.5,Alto voice
30,mid,MRSE,3.5,Alto voice
30,mid,HRSE,6,Alto voice
30,mid,congr.,4.75,Alto voice
30,high,LRSE,4.75,Alto voice
30,high,MRSE,6,Alto voice
30,high,HRSE,4.75,Alto voice
30,high,congr.,4.75,Alto voice
31,low,LRSE,3.5,Alto voice
31,low,MRSE,3.5,Alto voice
31,low,HRSE,4.75,Alto voice
31,low,congr.,3.5,Alto voice
31,mid,LRSE,3.5,Alto voice
31,mid,MRSE,3.5,Alto voice
31,mid,HRSE,3.5,Alto voice
31,mid,congr.,3.5,Alto voice
31,high,LRSE,3.5,Alto voice
31,high,MRSE,3.5,Alto voice
31,high,HRSE,3.5,Alto voice
