participant,score,space,condition,f0
4,4,outer,incongruent,1046.5
4,4,outer,incongruent,1568
4,3,outer,incongruent,1568
4,3,outer,incongruent,1568
4,4,outer,incongruent,830.6
4,1,outer,incongruent,329.6
4,2,outer,incongruent,233.1
4,2,outer,incongruent,370
4,3,outer,incongruent,233.1
4,5,outer,incongruent,659.3
4,3,outer,incongruent,622.3
4,4,outer,incongruent,698.5
4,5,outer,incongruent,554.4
4,2,inner,fixed,293.7
4,2,inner,fixed,293.7
4,3,inner,fixed,293.7
4,1,inner,fixed,293.7
4,2,inner,fixed,293.7
4,3,inner,fixed,293.7
4,3,inner,fixed,293.7
4,2,inner,fixed,293.7
4,3,inner,fixed,293.7
4,2,inner,fixed,293.7
4,3,inner,fixed,293.7
4,3,inner,fixed,293.7
4,4,inner,fixed,293.7
4,3,inner,fixed,293.7
4,3,inner,fixed,293.7
4,3,inner,fixed,293.7
4,3,inner,fixed,293.7
4,3,inner,fixed,293.7
4,2,inner,fixed,293.7
4,3,inner,fixed,293.7
4,3,inner,fixed,293.7
4,4,inner,fixed,293.7
4,2,inner,fixed,293.7
4,3,inner,fixed,293.7
4,4,inner,fixed,293.7
4,2,inner,fixed,293.7
4,3,inner,fixed,293.7
4,5,inner,fixed,293.7
4,3,inner,fixed,293.7
