participant,score,space,condition,f0,pc1,pc2
3,4,inner,incongruent,369.9944227,-8,2.5
3,3,inner,incongruent,440,-8,5
3,3,inner,incongruent,195.997718,-6,-5
3,4,inner,incongruent,246.9416506,-6,-2.5
3,3,inner,incongruent,164.8137785,-6,0
3,4,inner,incongruent,391.995436,-6,2.5
3,4,inner,incongruent,523.2511306,-6,5
3,3,inner,incongruent,207.6523488,-4,-5
3,2,inner,incongruent,130.8127827,-4,-2.5
3,3,inner,incongruent,277.182631,-4,0
3,3,inner,incongruent,659.2551138,-4,2.5
3,3,inner,incongruent,587.3295358,-4,5
3,4,inner,incongruent,311.1269837,-2,-5
3,4,inner,incongruent,220,-2,-2.5
3,4,inner,incongruent,493.8833013,-2,0
3,4,inner,incongruent,415.3046976,-2,2.5
3,3,inner,incongruent,1396.912926,-2,5
3,4,inner,incongruent,311.1269837,0,-5
3,5,inner,incongruent,293.6647679,0,-2.5
3,3,inner,incongruent,369.9944227,0,0
3,2,inner,incongruent,207.6523488,0,2.5
3,3,inner,incongruent,880,0,5
3,2,inner,incongruent,293.6647679,2,-5
3,4,inner,incongruent,261.6255653,2,-2.5
3,3,inner,incongruent,932.327523,2,0
3,5,inner,incongruent,880,2,2.5
3,4,inner,incongruent,1244.507935,2,5
3,4,inner,incongruent,587.3295358,4,-5
3,5,inner,incongruent,391.995436,4,-2.5
