"participants","msi_score","register","condition","response","instrument"
8,86,"mid","LRSE",2,"Alto voice"
8,86,"mid","MRSE",1,"Alto voice"
8,86,"mid","HRSE",1,"Alto voice"
8,86,"mid","congr.",2,"Alto voice"
8,86,"high","LRSE",2,"Alto voice"
8,86,"high","MRSE",1,"Alto voice"
8,86,"high","HRSE",2,"Alto voice"
8,86,"high","congr.",2,"Alto voice"
9,68,"low","LRSE",3.5,"Alto voice"
9,68,"low","MRSE",3.5,"Alto voice"
9,68,"low","HRSE",6,"Alto voice"
9,68,"low","congr.",6,"Alto voice"
9,68,"mid","LRSE",6,"Alto voice"
9,68,"mid","MRSE",3.5,"Alto voice"
9,68,"mid","HRSE",6,"Alto voice"
9,68,"mid","congr.",3.5,"Alto voice"
9,68,"high","LRSE",3.5,"Alto voice"
9,68,"high","MRSE",3.5,"Alto voice"
9,68,"high","HRSE",3.5,"Alto voice"
9,68,"high","congr.",3.5,"Alto voice"
10,67,"low","LRSE",2.25,"Alto voice"
10,67,"low","MRSE",2.25,"Alto voice"
10,67,"low","HRSE",2.25,"Alto voice"
10,67,"low","congr.",2.25,"Alto voice"
10,67,"mid","LRSE",4.75,"Alto voice"
10,67,"mid","MRSE",4.75,"Alto voice"
10,67,"mid","HRSE",3.5,"Alto voice"
10,67,"mid","congr.",4.75,"Alto voice"
10,67,"high","LRSE",3.5,"Alto voice"
10,67,"high","MRSE",3.5,"Alto voice"
10,67,"high","HRSE",3.5,"Alto voice"
10,67,"high","congr.",3.5,"Alto voice"
11,68,"low","LRSE",6,"Alto voice"
11,68,"low","MRSE",6,"Alto voice"
11,68,"low","HRSE",6,"Alto voice"
11,68,"low","congr.",6,"Alto voice"
11,68,"mid","LRSE",6,"Alto voice"
11,68,"mid","MRSE",6,"Alto voice"
11,68,"mid","HRSE",6,"Alto voice"
11,68,"mid","congr.",1,"Alto voice"
11,68,"high","LRSE",6,"Alto voice"
11,68,"high","MRSE",1,"Alto voice"
11,68,"high","HRSE",1,"Alto voice"
11,68,"high","congr.",1,"Alto voice"
12,92,"low","LRSE",4,"Alto voice"
12,92,"low","MRSE",3,"Alto voice"
12,92,"low","HRSE",2,"Alto voice"
12,92,"low","congr.",3,"Alto voice"
12,92,"mid","LRSE",2,"Alto voice"
12,92,"mid","MRSE",2,"Alto voice"
12,92,"mid","HRSE",2,"Alto voice"
12,92,"mid","congr.",4,"Alto voice"
12,92,"high","LRSE",3,"Alto voice"
12,92,"high","MRSE",3,"Alto voice"
12,92,"high","HRSE",3,"Alto voice"
12,92,"high","congr.",3,"Alto voice"
13,52,"low","LRSE",3.5,"Alto voice"
13,52,"low","MRSE",4.75,"Alto voice"
13,52,"low","HRSE",2.25,"Alto voice"
13,52,"low","congr.",3.5,"Alto voice"
13,52,"mid","LRSE",4.75,"Alto voice"
13,52,"mid","MRSE",3.5,"Alto voice"
13,52,"mid","HRSE",2.25,"Alto voice"
13,52,"mid","congr.",3.5,"Alto voice"
13,52,"high","LRSE",3.5,"Alto voice"
13,52,"high","MRSE",4.75,"Alto voice"
13,52,"high","HRSE",3.5,"Alto voice"
13,52,"high","congr.",3.5,"Alto voice"
14,49,"low","LRSE",3.5,"Alto voice"
14,49,"low","MRSE",6,"Alto voice"
14,49,"low","HRSE",1,"Alto voice"
14,49,"low","congr.",3.5,"Alto voice"
14,49,"mid","LRSE",3.5,"Alto voice"
14,49,"mid","MRSE",3.5,"Alto voice"
14,49,"mid","HRSE",1,"Alto voice"
14,49,"mid","congr.",3.5,"Alto voice"
14,49,"high","LRSE",3.5,"Alto voice"
14,49,"high","MRSE",3.5,"Alto voice"
14,49,"high","HRSE",3.5,"Alto voice"
14,49,"high","congr.",3.5,"Alto voice"
15,80,"low","LRSE",5,"Alto voice"
15,80,"low","MRSE",4,"Alto voice"
